Drill Listing
=============
Drill: .01378  Tool: 1  Feed: 95  Speed: 300
X 1864734  Y 1475478
X 1863204  Y 1472124
X 1862077  Y 1479955
X 1853806  Y 1472215
X 1851297  Y 1473812
X 1827657  Y 1473854
X 1826300  Y 1468588
X 1825407  Y 1460582
X 1819624  Y 1472285
X 1819164  Y 1457692
X 1814951  Y 1477083
X 1811586  Y 1476522
X 1811274  Y 1458015
X 1811212  Y 1471288
X 1794034  Y 1459676
X 1789267  Y 1481222
X 1783302  Y 1481331
X 1782370  Y 1459323
X 1768708  Y 1457251
X 1756694  Y 1466518
X 1756407  Y 1473961
X 1756407  Y 1470003
X 1756011  Y 1478446
X 1745327  Y 1463276
X 1743216  Y 1476995
X 1743216  Y 1470795
X 1713536  Y 1476071
X 1701005  Y 1476731
X 1690303  Y 1465871
X 1689081  Y 1457581
X 1685550  Y 1475721
X 1682409  Y 1476133
X 1678925  Y 1476064
X 1672158  Y 1465624
X 1665228  Y 1456556
X 1661419  Y 1474512
X 1658693  Y 1460782
X 1656209  Y 1465887
X 1651810  Y 1462524
X 1647718  Y 1478585
X 1641670  Y 1475746
X 1639639  Y 1460385
X 1635869  Y 1479449
X 1624537  Y 1456499
X 1624394  Y 1461565
X 1617411  Y 1460483
X 1595085  Y 1479519
X 1592491  Y 1487331
X 1607008  Y 1503910
X 1608747  Y 1494113
X 1609937  Y 1487705
X 1612776  Y 1484958
X 1613691  Y 1492923
X 1616346  Y 1503543
X 1637226  Y 1491299
X 1639695  Y 1485497
X 1646361  Y 1488953
X 1664595  Y 1493656
X 1675856  Y 1484867
X 1676222  Y 1496769
X 1685743  Y 1499240
X 1711030  Y 1484909
X 1715911  Y 1492692
X 1733789  Y 1492527
X 1733851  Y 1484777
X 1734525  Y 1498237
X 1745063  Y 1482271
X 1746240  Y 1492526
X 1746256  Y 1503896
X 1754338  Y 1490073
X 1755076  Y 1482911
X 1755146  Y 1497184
X 1774510  Y 1504464
X 1778760  Y 1498846
X 1792644  Y 1498846
X 1811212  Y 1499080
X 1811233  Y 1503783
X 1815758  Y 1497235
X 1817880  Y 1492238
X 1846422  Y 1489808
X 1869570  Y 1503513
X 1869760  Y 1497233
X 1872974  Y 1492893
X 1873876  Y 1505471
X 1874144  Y 1498593
X 1878456  Y 1483952
X 1889239  Y 1500022
X 1893522  Y 1487132
X 1893705  Y 1504667
X 1894293  Y 1496877
X 1895110  Y 1490427
X 1895241  Y 1483571
X 1903495  Y 1497870
X 1909719  Y 1497689
X 1916124  Y 1498681
X 1973932  Y 1486270
X 1974073  Y 1502423
X 1974073  Y 1494394
X 1986551  Y 1497476
X 1986564  Y 1488289
X 1999153  Y 1490502
X 1999368  Y 1502946
X 2009574  Y 1502807
X 2009665  Y 1490216
X 2009640  Y 1524847
X 2009640  Y 1513563
X 1999214  Y 1524913
X 1999148  Y 1513563
X 1986680  Y 1507631
X 1986551  Y 1517336
X 1986423  Y 1526463
X 1977103  Y 1526398
X 1977057  Y 1517598
X 1967848  Y 1526527
X 1967689  Y 1518044
X 1949623  Y 1522579
X 1948433  Y 1526594
X 1944269  Y 1522654
X 1940032  Y 1523918
X 1937685  Y 1518719
X 1936091  Y 1523249
X 1935096  Y 1512846
X 1934980  Y 1509655
X 1934980  Y 1515892
X 1925826  Y 1527607
X 1925336  Y 1523376
X 1913627  Y 1527907
X 1912550  Y 1523557
X 1908258  Y 1523336
X 1887989  Y 1528427
X 1886917  Y 1506989
X 1885074  Y 1526143
X 1878620  Y 1526789
X 1872975  Y 1511331
X 1870839  Y 1526551
X 1866843  Y 1529289
X 1855067  Y 1528423
X 1854731  Y 1517937
X 1849522  Y 1519358
X 1846772  Y 1528351
X 1843507  Y 1517083
X 1835733  Y 1528408
X 1834575  Y 1516993
X 1824793  Y 1514031
X 1815749  Y 1508299
X 1792644  Y 1512848
X 1778760  Y 1514391
X 1777811  Y 1527800
X 1772843  Y 1513467
X 1770725  Y 1524099
X 1753663  Y 1517830
X 1748252  Y 1521023
X 1739413  Y 1512131
X 1736559  Y 1509843
X 1735478  Y 1530249
X 1733495  Y 1510007
X 1717500  Y 1509196
X 1716317  Y 1525518
X 1697012  Y 1511997
X 1695227  Y 1527073
X 1685507  Y 1530445
X 1679793  Y 1508213
X 1679159  Y 1518741
X 1667257  Y 1525486
X 1664320  Y 1506473
X 1655355  Y 1522709
X 1652143  Y 1510410
X 1635115  Y 1509586
X 1617353  Y 1511692
X 1615797  Y 1507572
X 1609937  Y 1507022
X 1606458  Y 1512882
X 1595097  Y 1507514
X 1595018  Y 1528876
X 1595867  Y 1549876
X 1597730  Y 1533766
X 1606747  Y 1536878
X 1614350  Y 1552035
X 1616771  Y 1548399
X 1633471  Y 1547717
X 1634266  Y 1552034
X 1637444  Y 1549034
X 1653570  Y 1535404
X 1663488  Y 1542545
X 1676102  Y 1545625
X 1688403  Y 1556034
X 1695263  Y 1542787
X 1716553  Y 1546808
X 1735715  Y 1548701
X 1752037  Y 1539948
X 1770064  Y 1551976
X 1771777  Y 1535726
X 1776651  Y 1555700
X 1777474  Y 1534356
X 1778380  Y 1544457
X 1785257  Y 1553973
X 1814917  Y 1542170
X 1835762  Y 1533174
X 1836164  Y 1554425
X 1852780  Y 1556275
X 1854762  Y 1538407
X 1857024  Y 1556182
X 1862495  Y 1531572
X 1899363  Y 1554488
X 1902210  Y 1555176
X 1903470  Y 1551883
X 1907265  Y 1539863
X 1909425  Y 1543102
X 1911158  Y 1538088
X 1919339  Y 1539765
X 1923337  Y 1541560
X 1930188  Y 1542424
X 1930198  Y 1531851
X 1949434  Y 1554178
X 1951266  Y 1542103
X 1951351  Y 1547950
X 1955608  Y 1541690
X 1957428  Y 1552595
X 1998349  Y 1552585
X 2003975  Y 1539586
X 2006174  Y 1550579
X 2007949  Y 1540468
X 2015447  Y 1537780
X 2015695  Y 1562179
X 2014952  Y 1567316
X 2011700  Y 1564239
X 2006938  Y 1556698
X 2003859  Y 1563292
X 1986597  Y 1577863
X 1981693  Y 1577393
X 1980580  Y 1563303
X 1973167  Y 1565919
X 1969503  Y 1564754
X 1967421  Y 1568501
X 1961592  Y 1564754
X 1956929  Y 1565087
X 1955263  Y 1559424
X 1944354  Y 1575330
X 1936924  Y 1561582
X 1932529  Y 1565336
X 1931696  Y 1575413
X 1929080  Y 1556615
X 1917040  Y 1565670
X 1916706  Y 1575579
X 1904075  Y 1557875
X 1901134  Y 1565836
X 1900801  Y 1575413
X 1899069  Y 1558169
X 1895437  Y 1557188
X 1885228  Y 1575746
X 1884895  Y 1566419
X 1869989  Y 1575663
X 1869406  Y 1565670
X 1863859  Y 1574064
X 1854570  Y 1562324
X 1851142  Y 1569084
X 1847720  Y 1563131
X 1845844  Y 1575866
X 1841422  Y 1561769
X 1837366  Y 1573217
X 1836010  Y 1560357
X 1833234  Y 1565269
X 1825843  Y 1573066
X 1817937  Y 1563225
X 1802987  Y 1576849
X 1793378  Y 1566248
X 1761972  Y 1558400
X 1748707  Y 1567436
X 1746470  Y 1569748
X 1746187  Y 1572710
X 1713582  Y 1559699
X 1713562  Y 1563359
X 1709667  Y 1563430
X 1701650  Y 1556980
X 1694554  Y 1568098
X 1678231  Y 1562894
X 1669478  Y 1576141
X 1664763  Y 1557203
X 1652777  Y 1558414
X 1652417  Y 1571037
X 1651602  Y 1581174
X 1641310  Y 1557942
X 1638353  Y 1563789
X 1638243  Y 1574188
X 1637337  Y 1556839
X 1633017  Y 1575892
X 1625519  Y 1571234
X 1621088  Y 1579641
X 1618696  Y 1557332
X 1618248  Y 1569643
X 1613807  Y 1562493
X 1606948  Y 1565753
X 1605998  Y 1559913
X 1585529  Y 1582254
X 1594390  Y 1582140
X 1598935  Y 1583731
X 1613817  Y 1583276
X 1639151  Y 1584980
X 1652390  Y 1597907
X 1653286  Y 1589700
X 1658360  Y 1599797
X 1658597  Y 1590335
X 1992187  Y 1584732
X 2010141  Y 1585248
X 2014054  Y 1583786

Drill: .01969  Tool: 2  Feed: 95  Speed: 300
X 1798429  Y 1419715
X 1798435  Y 1433420
X 1830993  Y 1441515
X 1868169  Y 1441520
X 1971920  Y 1527153
X 1971920  Y 1539848
X 1893353  Y 1529208
X 1893329  Y 1517045

Drill: .03937  Tool: 3  Feed: 197  Speed: 550
X 1723936  Y 1407702
X 1733785  Y 1407702
X 1744349  Y 1407702
X 1753543  Y 1407702
X 1952779  Y 1459022
X 1952779  Y 1466896
X 1961440  Y 1459022
X 1961440  Y 1466896
